ID,Distance,Variety,Treatment,Management
R_W5_T3_133,0.225,JELLY,3,Biological
R_W5_T2_191,0.225,PASJA_POMORSKA,2,Biological
R_W5_T3_121,0.225,PASJA_POMORSKA,3,Biological
R_W5_T6_1,0.225,ATOL,6,Chemical
R_W5_T3_121,0.245,PASJA_POMORSKA,3,Biological
R_W5_T3_121,0.245,PASJA_POMORSKA,3,Biological
R_W5_T4_84,0.245,SALTO,4,Chemical
R_W5_T4_136,0.255,JELLY,4,Chemical
R_W5_T6_23,0.255,KRAB,6,Chemical
R_W5_T2_197,0.275,DESIREE,2,Biological
R_W5_T3_72,0.275,RUDAWA,3,Biological
R_W5_T3_98,0.295,PASJA_POMORSKA,3,Biological
R_W5_T2_203,0.295,KRAB,2,Biological
R_W5_T5_13,0.305,ATOL,5,Chemical
R_W5_T6_51,0.305,JELLY,6,Chemical
R_W5_T5_48,0.335,DESIREE,5,Chemical
R_W5_T4_85,0.345,RUDAWA,4,Chemical
R_W5_T3_130,0.149897959,JELLY,3,Biological
R_W5_T2_164,0.157040816,PASJA_POMORSKA,2,Biological
R_W5_T6_33,0.169795918,JELLY,6,Chemical
R_W5_T3_130,0.17244898,JELLY,3,Biological
R_W5_T3_130,0.177346939,JELLY,3,Biological
R_W5_T2_146,0.179081633,JELLY,2,Biological
R_W5_T2_145,0.179489796,SALTO,2,Biological
R_W5_T2_164,0.180918367,PASJA_POMORSKA,2,Biological
R_W5_T2_145,0.18122449,SALTO,2,Biological
R_W5_T2_175,0.182244898,SALTO,2,Biological
R_W5_T2_145,0.184591837,SALTO,2,Biological
R_W5_T3_132,0.185306122,ATOL,3,Biological
R_W5_T3_132,0.188469388,ATOL,3,Biological
R_W5_T2_147,0.189081633,ATOL,2,Biological
R_W5_T4_134,0.189183673,RUDAWA,4,Chemical
R_W5_T2_147,0.189285714,ATOL,2,Biological
R_W5_T2_200,0.192755102,DESIREE,2,Biological
R_W5_T2_173,0.193367347,ATOL,2,Biological
R_W5_T4_134,0.193571429,RUDAWA,4,Chemical
R_W5_T2_145,0.194387755,SALTO,2,Biological
R_W5_T3_101,0.194489796,PASJA_POMORSKA,3,Biological
R_W5_T2_173,0.19622449,ATOL,2,Biological
R_W5_T3_133,0.196326531,JELLY,3,Biological
R_W5_T3_132,0.196326531,ATOL,3,Biological
R_W5_T2_164,0.196734694,PASJA_POMORSKA,2,Biological
R_W5_T4_136,0.19755102,JELLY,4,Chemical
R_W5_T3_103,0.197959184,DESIREE,3,Biological
R_W5_T2_173,0.198265306,ATOL,2,Biological
R_W5_T4_134,0.198367347,RUDAWA,4,Chemical
R_W5_T2_169,0.198673469,SALTO,2,Biological
R_W5_T4_137,0.200510204,SALTO,4,Chemical
R_W5_T4_136,0.200714286,JELLY,4,Chemical
R_W5_T2_145,0.201122449,SALTO,2,Biological
R_W5_T2_175,0.201122449,SALTO,2,Biological
R_W5_T2_203,0.201428571,KRAB,2,Biological
R_W5_T2_169,0.201530612,SALTO,2,Biological
R_W5_T4_134,0.201938776,RUDAWA,4,Chemical
R_W5_T4_78,0.202244898,PASJA_POMORSKA,4,Chemical
R_W5_T4_78,0.202244898,PASJA_POMORSKA,4,Chemical
R_W5_T4_81,0.202346939,DESIREE,4,Chemical
R_W5_T3_101,0.20244898,PASJA_POMORSKA,3,Biological
R_W5_T5_65,0.202653061,SALTO,5,Chemical
R_W5_T3_129,0.202653061,RUDAWA,3,Biological
R_W5_T2_169,0.202755102,SALTO,2,Biological
R_W5_T4_140,0.202857143,JELLY,4,Chemical
R_W5_T3_133,0.202959184,JELLY,3,Biological
R_W5_T4_107,0.203061224,DESIREE,4,Chemical
R_W5_T2_203,0.203673469,KRAB,2,Biological
R_W5_T6_23,0.203877551,KRAB,6,Chemical
R_W5_T3_132,0.204183673,ATOL,3,Biological
R_W5_T4_137,0.204387755,SALTO,4,Chemical
R_W5_T4_78,0.204387755,PASJA_POMORSKA,4,Chemical
R_W5_T3_101,0.205102041,PASJA_POMORSKA,3,Biological
R_W5_T2_147,0.205102041,ATOL,2,Biological
R_W5_T3_132,0.205714286,ATOL,3,Biological
R_W5_T2_175,0.205816327,SALTO,2,Biological
R_W5_T4_139,0.206632653,ATOL,4,Chemical
R_W5_T2_145,0.206836735,SALTO,2,Biological
R_W5_T2_175,0.206938776,SALTO,2,Biological
R_W5_T3_103,0.207142857,DESIREE,3,Biological
R_W5_T2_192,0.207142857,JELLY,2,Biological
R_W5_T4_91,0.20744898,ATOL,4,Chemical
R_W5_T4_107,0.207959184,DESIREE,4,Chemical
R_W5_T5_14,0.209693878,PASJA_POMORSKA,5,Chemical
R_W5_T3_121,0.210102041,PASJA_POMORSKA,3,Biological
R_W5_T2_175,0.210102041,SALTO,2,Biological
R_W5_T2_147,0.210510204,ATOL,2,Biological
R_W5_T4_136,0.210510204,JELLY,4,Chemical
R_W5_T6_23,0.210510204,KRAB,6,Chemical
R_W5_T2_164,0.211326531,PASJA_POMORSKA,2,Biological
R_W5_T4_84,0.211632653,SALTO,4,Chemical
R_W5_T2_145,0.211632653,SALTO,2,Biological
R_W5_T5_65,0.211734694,SALTO,5,Chemical
R_W5_T4_137,0.211938776,SALTO,4,Chemical
R_W5_T4_140,0.212040816,JELLY,4,Chemical
R_W5_T4_137,0.212040816,SALTO,4,Chemical
R_W5_T3_129,0.212346939,RUDAWA,3,Biological
R_W5_T2_143,0.212653061,RUDAWA,2,Biological
R_W5_T2_142,0.212755102,PASJA_POMORSKA,2,Biological
R_W5_T5_68,0.212857143,KRAB,5,Chemical
R_W5_T2_171,0.213265306,JELLY,2,Biological
R_W5_T2_147,0.214183673,ATOL,2,Biological
R_W5_T2_169,0.214183673,SALTO,2,Biological
R_W5_T5_14,0.214285714,PASJA_POMORSKA,5,Chemical
R_W5_T3_124,0.214285714,KRAB,3,Biological
R_W5_T4_136,0.214387755,JELLY,4,Chemical
R_W5_T3_72,0.214591837,RUDAWA,3,Biological
R_W5_T2_164,0.214897959,PASJA_POMORSKA,2,Biological
R_W5_T6_33,0.215102041,JELLY,6,Chemical
R_W5_T3_103,0.215204082,DESIREE,3,Biological
R_W5_T2_147,0.215408163,ATOL,2,Biological
R_W5_T4_136,0.215510204,JELLY,4,Chemical
R_W5_T3_101,0.215612245,PASJA_POMORSKA,3,Biological
R_W5_T6_32,0.215612245,SALTO,6,Chemical
R_W5_T6_32,0.215612245,SALTO,6,Chemical
R_W5_T4_91,0.215816327,ATOL,4,Chemical
R_W5_T3_129,0.215918367,RUDAWA,3,Biological
R_W5_T5_21,0.216020408,JELLY,5,Chemical
R_W5_T2_171,0.216122449,JELLY,2,Biological
R_W5_T5_69,0.216428571,ATOL,5,Chemical
R_W5_T4_136,0.216530612,JELLY,4,Chemical
R_W5_T2_142,0.216530612,PASJA_POMORSKA,2,Biological
R_W5_T2_142,0.216734694,PASJA_POMORSKA,2,Biological
R_W5_T4_118,0.216836735,JELLY,4,Chemical
R_W5_T6_23,0.216836735,KRAB,6,Chemical
R_W5_T3_130,0.217040816,JELLY,3,Biological
R_W5_T4_109,0.217653061,PASJA_POMORSKA,4,Chemical
R_W5_T3_132,0.217755102,ATOL,3,Biological
R_W5_T3_129,0.217857143,RUDAWA,3,Biological
R_W5_T3_133,0.217857143,JELLY,3,Biological
R_W5_T6_23,0.218061224,KRAB,6,Chemical
R_W5_T2_169,0.218061224,SALTO,2,Biological
R_W5_T3_130,0.218061224,JELLY,3,Biological
R_W5_T4_134,0.218367347,RUDAWA,4,Chemical
R_W5_T4_91,0.218367347,ATOL,4,Chemical
R_W5_T3_129,0.218469388,RUDAWA,3,Biological
R_W5_T2_171,0.218469388,JELLY,2,Biological
R_W5_T5_65,0.218673469,SALTO,5,Chemical
R_W5_T4_136,0.218673469,JELLY,4,Chemical
R_W5_T3_103,0.21877551,DESIREE,3,Biological
R_W5_T2_173,0.21877551,ATOL,2,Biological
R_W5_T2_171,0.218979592,JELLY,2,Biological
R_W5_T6_23,0.219285714,KRAB,6,Chemical
R_W5_T2_145,0.219387755,SALTO,2,Biological
R_W5_T2_147,0.219489796,ATOL,2,Biological
R_W5_T2_145,0.219489796,SALTO,2,Biological
R_W5_T2_173,0.219489796,ATOL,2,Biological
R_W5_T3_124,0.220102041,KRAB,3,Biological
R_W5_T3_72,0.220102041,RUDAWA,3,Biological
R_W5_T6_25,0.220204082,DESIREE,6,Chemical
R_W5_T3_129,0.220204082,RUDAWA,3,Biological
R_W5_T2_142,0.220714286,PASJA_POMORSKA,2,Biological
R_W5_T2_203,0.221020408,KRAB,2,Biological
R_W5_T4_140,0.22122449,JELLY,4,Chemical
R_W5_T5_68,0.221326531,KRAB,5,Chemical
R_W5_T5_41,0.221632653,KRAB,5,Chemical
R_W5_T2_190,0.221938776,DESIREE,2,Biological
R_W5_T5_41,0.222142857,KRAB,5,Chemical
R_W5_T5_65,0.222244898,SALTO,5,Chemical
R_W5_T4_136,0.222346939,JELLY,4,Chemical
R_W5_T4_78,0.222346939,PASJA_POMORSKA,4,Chemical
R_W5_T2_146,0.222653061,JELLY,2,Biological
R_W5_T2_173,0.222653061,ATOL,2,Biological
R_W5_T2_146,0.222653061,JELLY,2,Biological
R_W5_T6_23,0.222857143,KRAB,6,Chemical
R_W5_T2_173,0.222959184,ATOL,2,Biological
R_W5_T6_62,0.223163265,KRAB,6,Chemical
R_W5_T2_173,0.223163265,ATOL,2,Biological
R_W5_T4_139,0.223367347,ATOL,4,Chemical
R_W5_T5_21,0.223469388,JELLY,5,Chemical
R_W5_T4_116,0.223469388,KRAB,4,Chemical
R_W5_T6_24,0.223673469,PASJA_POMORSKA,6,Chemical
R_W5_T6_23,0.22377551,KRAB,6,Chemical
R_W5_T3_72,0.223877551,RUDAWA,3,Biological
R_W5_T5_43,0.224081633,SALTO,5,Chemical
R_W5_T5_43,0.224387755,SALTO,5,Chemical
R_W5_T3_130,0.224489796,JELLY,3,Biological
R_W5_T3_125,0.224897959,ATOL,3,Biological
R_W5_T3_129,0.225306122,RUDAWA,3,Biological
R_W5_T5_41,0.225408163,KRAB,5,Chemical
R_W5_T6_62,0.225408163,KRAB,6,Chemical
R_W5_T3_103,0.225408163,DESIREE,3,Biological
R_W5_T3_98,0.225612245,PASJA_POMORSKA,3,Biological
R_W5_T2_191,0.225714286,PASJA_POMORSKA,2,Biological
R_W5_T6_29,0.225816327,ATOL,6,Chemical
R_W5_T4_118,0.225918367,JELLY,4,Chemical
R_W5_T4_107,0.22622449,DESIREE,4,Chemical
R_W5_T2_197,0.22622449,DESIREE,2,Biological
R_W5_T4_109,0.226326531,PASJA_POMORSKA,4,Chemical
R_W5_T2_203,0.226326531,KRAB,2,Biological
R_W5_T4_91,0.226428571,ATOL,4,Chemical
R_W5_T3_103,0.226428571,DESIREE,3,Biological
R_W5_T5_19,0.226530612,JELLY,5,Chemical
R_W5_T3_77,0.226734694,ATOL,3,Biological
R_W5_T4_79,0.226938776,SALTO,4,Chemical
R_W5_T2_191,0.226938776,PASJA_POMORSKA,2,Biological
R_W5_T4_81,0.227040816,DESIREE,4,Chemical
R_W5_T2_203,0.227142857,KRAB,2,Biological
R_W5_T5_14,0.227142857,PASJA_POMORSKA,5,Chemical
R_W5_T4_90,0.227346939,KRAB,4,Chemical
R_W5_T2_173,0.227346939,ATOL,2,Biological
R_W5_T4_84,0.22744898,SALTO,4,Chemical
R_W5_T5_43,0.22744898,SALTO,5,Chemical
R_W5_T6_33,0.227653061,JELLY,6,Chemical
R_W5_T6_4,0.227755102,PASJA_POMORSKA,6,Chemical
R_W5_T2_147,0.228061224,ATOL,2,Biological
R_W5_T2_203,0.228367347,KRAB,2,Biological
R_W5_T3_101,0.228469388,PASJA_POMORSKA,3,Biological
R_W5_T5_21,0.228571429,JELLY,5,Chemical
R_W5_T2_142,0.228673469,PASJA_POMORSKA,2,Biological
R_W5_T5_69,0.228877551,ATOL,5,Chemical
R_W5_T2_171,0.229387755,JELLY,2,Biological
R_W5_T4_84,0.229387755,SALTO,4,Chemical
R_W5_T3_124,0.229387755,KRAB,3,Biological
R_W5_T3_103,0.229387755,DESIREE,3,Biological
R_W5_T5_20,0.229591837,RUDAWA,5,Chemical
R_W5_T5_43,0.229591837,SALTO,5,Chemical
R_W5_T4_79,0.229693878,SALTO,4,Chemical
R_W5_T2_171,0.229897959,JELLY,2,Biological
R_W5_T5_39,0.230204082,PASJA_POMORSKA,5,Chemical
R_W5_T5_39,0.230408163,PASJA_POMORSKA,5,Chemical
R_W5_T3_98,0.230714286,PASJA_POMORSKA,3,Biological
R_W5_T6_62,0.230714286,KRAB,6,Chemical
R_W5_T2_142,0.230816327,PASJA_POMORSKA,2,Biological
R_W5_T6_32,0.231020408,SALTO,6,Chemical
R_W5_T3_132,0.23122449,ATOL,3,Biological
R_W5_T5_65,0.231326531,SALTO,5,Chemical
R_W5_T4_90,0.231428571,KRAB,4,Chemical
R_W5_T5_68,0.231632653,KRAB,5,Chemical
R_W5_T5_65,0.231734694,SALTO,5,Chemical
R_W5_T5_41,0.231836735,KRAB,5,Chemical
R_W5_T4_115,0.231938776,DESIREE,4,Chemical
R_W5_T3_133,0.232040816,JELLY,3,Biological
R_W5_T4_87,0.232040816,ATOL,4,Chemical
R_W5_T3_133,0.232244898,JELLY,3,Biological
R_W5_T4_107,0.232244898,DESIREE,4,Chemical
R_W5_T2_147,0.232244898,ATOL,2,Biological
R_W5_T2_191,0.232346939,PASJA_POMORSKA,2,Biological
R_W5_T5_12,0.23244898,DESIREE,5,Chemical
R_W5_T4_118,0.232653061,JELLY,4,Chemical
R_W5_T2_169,0.233061224,SALTO,2,Biological
R_W5_T3_133,0.233061224,JELLY,3,Biological
R_W5_T4_107,0.233061224,DESIREE,4,Chemical
R_W5_T5_41,0.233061224,KRAB,5,Chemical
R_W5_T6_25,0.233265306,DESIREE,6,Chemical
R_W5_T5_10,0.233469388,DESIREE,5,Chemical
R_W5_T2_171,0.233673469,JELLY,2,Biological
R_W5_T3_100,0.233673469,SALTO,3,Biological
R_W5_T3_130,0.23377551,JELLY,3,Biological
R_W5_T2_145,0.23377551,SALTO,2,Biological
R_W5_T2_192,0.233877551,JELLY,2,Biological
R_W5_T3_124,0.233877551,KRAB,3,Biological
R_W5_T2_145,0.233979592,SALTO,2,Biological
R_W5_T2_164,0.233979592,PASJA_POMORSKA,2,Biological
R_W5_T4_91,0.234081633,ATOL,4,Chemical
R_W5_T5_43,0.234081633,SALTO,5,Chemical
R_W5_T5_43,0.234183673,SALTO,5,Chemical
R_W5_T4_115,0.234285714,DESIREE,4,Chemical
R_W5_T5_65,0.234285714,SALTO,5,Chemical
R_W5_T4_78,0.234285714,PASJA_POMORSKA,4,Chemical
R_W5_T4_81,0.234387755,DESIREE,4,Chemical
R_W5_T6_24,0.234387755,PASJA_POMORSKA,6,Chemical
R_W5_T3_100,0.234693878,SALTO,3,Biological
R_W5_T4_107,0.234795918,DESIREE,4,Chemical
R_W5_T3_125,0.235102041,ATOL,3,Biological
R_W5_T6_25,0.235102041,DESIREE,6,Chemical
R_W5_T3_121,0.235102041,PASJA_POMORSKA,3,Biological
R_W5_T6_32,0.235204082,SALTO,6,Chemical
R_W5_T3_100,0.235204082,SALTO,3,Biological
R_W5_T5_12,0.235204082,DESIREE,5,Chemical
R_W5_T4_134,0.235306122,RUDAWA,4,Chemical
R_W5_T4_118,0.235306122,JELLY,4,Chemical
R_W5_T5_69,0.235510204,ATOL,5,Chemical
R_W5_T4_136,0.235714286,JELLY,4,Chemical
R_W5_T6_32,0.235816327,SALTO,6,Chemical
R_W5_T3_98,0.236020408,PASJA_POMORSKA,3,Biological
R_W5_T2_190,0.23622449,DESIREE,2,Biological
R_W5_T3_124,0.236326531,KRAB,3,Biological
R_W5_T3_129,0.236530612,RUDAWA,3,Biological
R_W5_T3_122,0.236734694,SALTO,3,Biological
R_W5_T5_68,0.236836735,KRAB,5,Chemical
R_W5_T4_107,0.237040816,DESIREE,4,Chemical
R_W5_T4_136,0.237040816,JELLY,4,Chemical
R_W5_T4_140,0.237040816,JELLY,4,Chemical
R_W5_T6_35,0.237142857,ATOL,6,Chemical
R_W5_T5_43,0.237244898,SALTO,5,Chemical
R_W5_T5_41,0.237346939,KRAB,5,Chemical
R_W5_T4_137,0.237346939,SALTO,4,Chemical
R_W5_T4_84,0.237346939,SALTO,4,Chemical
R_W5_T2_145,0.237346939,SALTO,2,Biological
R_W5_T4_137,0.237346939,SALTO,4,Chemical
R_W5_T4_137,0.23744898,SALTO,4,Chemical
R_W5_T2_196,0.23755102,ATOL,2,Biological
R_W5_T3_133,0.23755102,JELLY,3,Biological
R_W5_T6_56,0.237653061,DESIREE,6,Chemical
R_W5_T6_25,0.237755102,DESIREE,6,Chemical
R_W5_T4_79,0.237755102,SALTO,4,Chemical
R_W5_T4_107,0.237959184,DESIREE,4,Chemical
R_W5_T4_87,0.238061224,ATOL,4,Chemical
R_W5_T4_109,0.238265306,PASJA_POMORSKA,4,Chemical
R_W5_T3_125,0.238265306,ATOL,3,Biological
R_W5_T4_134,0.238469388,RUDAWA,4,Chemical
R_W5_T2_146,0.238469388,JELLY,2,Biological
R_W5_T2_169,0.238571429,SALTO,2,Biological
R_W5_T3_125,0.238571429,ATOL,3,Biological
R_W5_T5_65,0.238673469,SALTO,5,Chemical
R_W5_T2_191,0.238673469,PASJA_POMORSKA,2,Biological
R_W5_T5_65,0.23877551,SALTO,5,Chemical
R_W5_T4_118,0.23877551,JELLY,4,Chemical
R_W5_T4_91,0.23877551,ATOL,4,Chemical
R_W5_T4_79,0.239081633,SALTO,4,Chemical
R_W5_T6_23,0.239081633,KRAB,6,Chemical
R_W5_T5_12,0.239183673,DESIREE,5,Chemical
R_W5_T4_116,0.239183673,KRAB,4,Chemical
R_W5_T4_109,0.239183673,PASJA_POMORSKA,4,Chemical
R_W5_T5_20,0.239285714,RUDAWA,5,Chemical
R_W5_T4_109,0.239387755,PASJA_POMORSKA,4,Chemical
R_W5_T6_29,0.239591837,ATOL,6,Chemical
R_W5_T3_100,0.239591837,SALTO,3,Biological
R_W5_T3_122,0.239795918,SALTO,3,Biological
R_W5_T4_109,0.239897959,PASJA_POMORSKA,4,Chemical
R_W5_T4_136,0.24,JELLY,4,Chemical
R_W5_T5_39,0.24,PASJA_POMORSKA,5,Chemical
R_W5_T4_78,0.240102041,PASJA_POMORSKA,4,Chemical
R_W5_T4_87,0.240102041,ATOL,4,Chemical
R_W5_T4_79,0.240102041,SALTO,4,Chemical
R_W5_T5_41,0.240306122,KRAB,5,Chemical
R_W5_T3_77,0.240306122,ATOL,3,Biological
R_W5_T5_37,0.240408163,PASJA_POMORSKA,5,Chemical
R_W5_T3_103,0.240510204,DESIREE,3,Biological
R_W5_T5_68,0.240510204,KRAB,5,Chemical
R_W5_T4_140,0.240612245,JELLY,4,Chemical
R_W5_T3_129,0.240714286,RUDAWA,3,Biological
R_W5_T5_39,0.240714286,PASJA_POMORSKA,5,Chemical
R_W5_T6_62,0.240714286,KRAB,6,Chemical
R_W5_T5_20,0.240714286,RUDAWA,5,Chemical
R_W5_T3_98,0.240816327,PASJA_POMORSKA,3,Biological
R_W5_T2_147,0.241020408,ATOL,2,Biological
R_W5_T3_130,0.24122449,JELLY,3,Biological
R_W5_T3_130,0.241326531,JELLY,3,Biological
R_W5_T5_20,0.241428571,RUDAWA,5,Chemical
R_W5_T4_134,0.241428571,RUDAWA,4,Chemical
R_W5_T6_32,0.241530612,SALTO,6,Chemical
R_W5_T5_41,0.241632653,KRAB,5,Chemical
R_W5_T3_72,0.241734694,RUDAWA,3,Biological
R_W5_T3_124,0.241734694,KRAB,3,Biological
R_W5_T2_147,0.241734694,ATOL,2,Biological
R_W5_T4_139,0.241836735,ATOL,4,Chemical
R_W5_T4_84,0.241836735,SALTO,4,Chemical
R_W5_T6_23,0.241938776,KRAB,6,Chemical
R_W5_T6_32,0.242040816,SALTO,6,Chemical
R_W5_T2_147,0.242346939,ATOL,2,Biological
R_W5_T2_164,0.24244898,PASJA_POMORSKA,2,Biological
R_W5_T2_146,0.24255102,JELLY,2,Biological
R_W5_T5_21,0.242653061,JELLY,5,Chemical
R_W5_T4_84,0.242653061,SALTO,4,Chemical
R_W5_T2_143,0.242755102,RUDAWA,2,Biological
R_W5_T2_197,0.242755102,DESIREE,2,Biological
R_W5_T4_91,0.242959184,ATOL,4,Chemical
R_W5_T5_19,0.243061224,JELLY,5,Chemical
R_W5_T4_140,0.243163265,JELLY,4,Chemical
R_W5_T4_91,0.243367347,ATOL,4,Chemical
R_W5_T6_35,0.243469388,ATOL,6,Chemical
R_W5_T3_132,0.243469388,ATOL,3,Biological
R_W5_T2_191,0.243571429,PASJA_POMORSKA,2,Biological
R_W5_T3_100,0.243571429,SALTO,3,Biological
R_W5_T4_115,0.243673469,DESIREE,4,Chemical
R_W5_T2_145,0.243673469,SALTO,2,Biological
R_W5_T6_56,0.24377551,DESIREE,6,Chemical
R_W5_T2_143,0.24377551,RUDAWA,2,Biological
R_W5_T5_68,0.243877551,KRAB,5,Chemical
R_W5_T6_5,0.243979592,DESIREE,6,Chemical
R_W5_T5_21,0.244081633,JELLY,5,Chemical
R_W5_T2_197,0.244285714,DESIREE,2,Biological
R_W5_T2_191,0.244285714,PASJA_POMORSKA,2,Biological
R_W5_T5_18,0.244489796,KRAB,5,Chemical
R_W5_T6_32,0.244489796,SALTO,6,Chemical
R_W5_T2_192,0.244693878,JELLY,2,Biological
R_W5_T2_164,0.244795918,PASJA_POMORSKA,2,Biological
R_W5_T2_197,0.244795918,DESIREE,2,Biological
R_W5_T6_50,0.244795918,SALTO,6,Chemical
R_W5_T6_33,0.245102041,JELLY,6,Chemical
R_W5_T3_121,0.245102041,PASJA_POMORSKA,3,Biological
R_W5_T2_169,0.245102041,SALTO,2,Biological
R_W5_T4_139,0.245204082,ATOL,4,Chemical
R_W5_T6_35,0.245204082,ATOL,6,Chemical
R_W5_T2_146,0.245204082,JELLY,2,Biological
R_W5_T2_192,0.245306122,JELLY,2,Biological
R_W5_T4_91,0.245306122,ATOL,4,Chemical
R_W5_T2_142,0.245408163,PASJA_POMORSKA,2,Biological
R_W5_T4_136,0.245408163,JELLY,4,Chemical
R_W5_T6_50,0.245510204,SALTO,6,Chemical
R_W5_T3_104,0.245510204,SALTO,3,Biological
R_W5_T5_12,0.245714286,DESIREE,5,Chemical
R_W5_T2_190,0.245816327,DESIREE,2,Biological
R_W5_T3_129,0.245918367,RUDAWA,3,Biological
R_W5_T3_121,0.246020408,PASJA_POMORSKA,3,Biological
R_W5_T3_121,0.246122449,PASJA_POMORSKA,3,Biological
R_W5_T4_136,0.24622449,JELLY,4,Chemical
R_W5_T2_164,0.246326531,PASJA_POMORSKA,2,Biological
R_W5_T6_57,0.246326531,PASJA_POMORSKA,6,Chemical
R_W5_T5_14,0.246326531,PASJA_POMORSKA,5,Chemical
R_W5_T6_62,0.246428571,KRAB,6,Chemical
R_W5_T5_49,0.246530612,RUDAWA,5,Chemical
R_W5_T3_77,0.246632653,ATOL,3,Biological
R_W5_T6_33,0.246632653,JELLY,6,Chemical
R_W5_T2_191,0.246734694,PASJA_POMORSKA,2,Biological
R_W5_T5_46,0.246734694,SALTO,5,Chemical
R_W5_T2_171,0.246734694,JELLY,2,Biological
R_W5_T2_147,0.246938776,ATOL,2,Biological
R_W5_T3_132,0.246938776,ATOL,3,Biological
